project,config,erroneous_value
hdfs,dfs.namenode.audit.loggers,org.apache.hadoop.hdfs.server.namenode.AuditLogger
hdfs,dfs.namenode.audit.loggers,org.apache.hadoop.hdfs.server.namenode.HdfsAuditLogger
hdfs,dfs.webhdfs.socket.read-timeout,-1
hdfs,dfs.webhdfs.socket.read-timeout,0
hdfs,dfs.webhdfs.socket.read-timeout,1sxd
hdfs,dfs.namenode.hosts.provider.classname,12345
hdfs,dfs.namenode.hosts.provider.classname,org.apache.hadoop.hdfs.server.blockmanagement.HostConfigManager
hdfs,dfs.namenode.hosts.provider.classname,sxd
hdfs,dfs.namenode.checkpoint.dir,/tmp/ctest-hadoop-dir
hdfs,dfs.namenode.checkpoint.dir,12345
hdfs,dfs.namenode.checkpoint.dir,file:///tmp/ctest-hadoop-dir
hdfs,dfs.xframe.value,1.1.1.1
hdfs,dfs.xframe.value,123
hdfs,dfs.xframe.value,sxd
hdfs,dfs.namenode.edekcacheloader.initial.delay.ms,-1
hdfs,dfs.namenode.edekcacheloader.initial.delay.ms,2147483648
hdfs,dfs.namenode.edekcacheloader.initial.delay.ms,sxd
hdfs,dfs.namenode.write.stale.datanode.ratio,-1
hdfs,dfs.namenode.write.stale.datanode.ratio,1
hdfs,dfs.namenode.write.stale.datanode.ratio,sxd
hdfs,dfs.image.transfer-bootstrap-standby.bandwidthPerSec,-1
hdfs,dfs.image.transfer-bootstrap-standby.bandwidthPerSec,9223372036854775808
hdfs,dfs.image.transfer-bootstrap-standby.bandwidthPerSec,sxd
hdfs,dfs.datanode.metrics.logger.period.seconds,12.34
hdfs,dfs.datanode.metrics.logger.period.seconds,2147483648
hdfs,dfs.datanode.metrics.logger.period.seconds,sxd
hdfs,dfs.namenode.fs-limits.max-blocks-per-file,-1
hdfs,dfs.namenode.fs-limits.max-blocks-per-file,9.22337E+18
hdfs,dfs.namenode.fs-limits.max-blocks-per-file,9223372036854775808
hdfs,dfs.namenode.fs-limits.max-blocks-per-file,sxd
hdfs,dfs.datanode.slow.io.warning.threshold.ms,0
hdfs,dfs.datanode.slow.io.warning.threshold.ms,9223372036854775808
hdfs,dfs.datanode.slow.io.warning.threshold.ms,sxd
hdfs,dfs.namenode.fs-limits.max-xattrs-per-inode,-1
hdfs,dfs.namenode.fs-limits.max-xattrs-per-inode,2147483648
hdfs,dfs.namenode.fs-limits.max-xattrs-per-inode,sxd
hdfs,dfs.namenode.resource.check.interval,-1
hdfs,dfs.namenode.resource.check.interval,9.22337E+18
hdfs,dfs.namenode.resource.check.interval,sxd
hdfs,dfs.client.mmap.cache.size,-1
hdfs,dfs.client.mmap.cache.size,2147483648
hdfs,dfs.client.mmap.cache.size,sxd
hdfs,dfs.namenode.top.num.users,0
hdfs,dfs.namenode.top.num.users,2147483648
hdfs,dfs.namenode.top.num.users,sxd
hdfs,dfs.namenode.edit.log.autoroll.multiplier.threshold,-1
hdfs,dfs.namenode.edit.log.autoroll.multiplier.threshold,0
hdfs,dfs.namenode.edit.log.autoroll.multiplier.threshold,sxd
hdfs,dfs.ha.log-roll.period,-0.5
hdfs,dfs.ha.log-roll.period,0
hdfs,dfs.ha.log-roll.period,bogus
hdfs,dfs.namenode.checkpoint.edits.dir,b|o|g|u|s
hdfs,dfs.namenode.checkpoint.edits.dir,not>valid
hdfs,dfs.namenode.checkpoint.edits.dir,what?ever
hdfs,dfs.ha.tail-edits.period,-10
hdfs,dfs.ha.tail-edits.period,0
hdfs,dfs.ha.tail-edits.period,bogus
hdfs,dfs.image.transfer.bandwidthPerSec,-10
hdfs,dfs.image.transfer.bandwidthPerSec,0.5
hdfs,dfs.image.transfer.bandwidthPerSec,bogus
hdfs,dfs.datanode.address,127.0.0.1:-1
hdfs,dfs.datanode.address,300.00.1:5000
hdfs,dfs.datanode.address,bogus
hdfs,dfs.internal.nameservices,mc1#;m
hdfs,dfs.internal.nameservices,mc1#\mc2
hdfs,dfs.internal.nameservices,mc1\n.mc2
hdfs,dfs.web.authentication.kerberos.principal,123
hdfs,dfs.web.authentication.kerberos.principal,a;b;c
hdfs,dfs.web.authentication.kerberos.principal,bogus
hdfs,dfs.namenode.resource.checked.volumes.minimum,-10
hdfs,dfs.namenode.resource.checked.volumes.minimum,0.5
hdfs,dfs.namenode.resource.checked.volumes.minimum,bogus
hdfs,dfs.namenode.safemode.threshold-pct,TRUE
hdfs,dfs.namenode.safemode.threshold-pct,blah
hdfs,dfs.namenode.safemode.threshold-pct,bogus
hdfs,dfs.namenode.full.block.report.lease.length.ms,-10
hdfs,dfs.namenode.full.block.report.lease.length.ms,0
hdfs,dfs.namenode.full.block.report.lease.length.ms,bogus
hdfs,dfs.permissions.superusergroup,0!1!2
hdfs,dfs.permissions.superusergroup,b/o/g/u/s
hdfs,dfs.permissions.superusergroup,i;d;k
hdfs,dfs.datanode.directoryscan.threads,-10
hdfs,dfs.datanode.directoryscan.threads,0.5
hdfs,dfs.datanode.directoryscan.threads,bogus
hdfs,dfs.datanode.cache.revocation.timeout.ms,-10
hdfs,dfs.datanode.cache.revocation.timeout.ms,0
hdfs,dfs.datanode.cache.revocation.timeout.ms,bogus
hdfs,dfs.trustedchannel.resolver.class,123
hdfs,dfs.trustedchannel.resolver.class,a.b.c.d
hdfs,dfs.trustedchannel.resolver.class,bogus
hdfs,dfs.client.slow.io.warning.threshold.ms,0
hdfs,dfs.client.slow.io.warning.threshold.ms,0.5
hdfs,dfs.client.slow.io.warning.threshold.ms,bogus
