project,config,erroneous_value
hbase,hbase.server.versionfile.writeattempts,2147483648
hbase,hbase.server.versionfile.writeattempts,ABC
hbase,hbase.hstore.compaction.max.size,-100
hbase,hbase.hstore.compaction.max.size,0
hbase,hbase.hstore.compaction.max.size,1000.5
hbase,hbase.hregion.percolumnfamilyflush.size.lower.bound.min,2147483647
hbase,hbase.hregion.percolumnfamilyflush.size.lower.bound.min,9223372036854775807
hbase,hbase.hregion.percolumnfamilyflush.size.lower.bound.min,ABC
hbase,hbase.procedure.master.classes,ABC
hbase,hbase.procedure.master.classes,org.apache.hadoop.hbase.HBaseConfiguration
hbase,hbase.procedure.master.classes,org.apache.hadoop.hbase.procedure.MasterProcedureManager
hbase,hbase.regionserver.port,-1
hbase,hbase.regionserver.port,443
hbase,hbase.regionserver.port,ABC
hbase,hbase.mob.cache.evict.remain.ratio,-0.1f
hbase,hbase.mob.cache.evict.remain.ratio,1.0000000000001f
hbase,hbase.mob.cache.evict.remain.ratio,ABC
hbase,hbase.bulkload.retries.number,-1
hbase,hbase.bulkload.retries.number,2147483648
hbase,hbase.bulkload.retries.number,ABC
hbase,hbase.replication.rpc.codec,ABC
hbase,hbase.replication.rpc.codec,org.apache.hadoop.hbase.codec.Codec
hbase,hbase.replication.rpc.codec,org.apache.hadoop.hbase.codec.KeyValueCodecWithTag
hbase,hbase.master.logcleaner.plugins,"ABC,org.apache.hadoop.hbase.master.cleaner.TimeToLiveLogCleaner,org.apache.hadoop.hbase.master.cleaner.TimeToLiveProcedureWALCleaner"
hbase,hbase.master.logcleaner.plugins,"ABC;org.apache.hadoop.hbase.master.cleaner.TimeToLiveLogCleaner,org.apache.hadoop.hbase.master.cleaner.TimeToLiveProcedureWALCleaner"
hbase,hbase.master.logcleaner.plugins,None
hbase,hbase.hregion.memstore.block.multiplier,-1
hbase,hbase.hregion.memstore.block.multiplier,9223372036854775808
hbase,hbase.hregion.memstore.block.multiplier,ABC
hbase,hbase.regionserver.info.bindAddress,
hbase,hbase.regionserver.info.bindAddress,192.168.0.1
hbase,hbase.regionserver.info.bindAddress,ABC
hbase,hbase.rootdir.perms,0
hbase,hbase.rootdir.perms,711
hbase,hbase.rootdir.perms,ABC
hbase,hbase.regionserver.optionalcacheflushinterval,-1
hbase,hbase.regionserver.optionalcacheflushinterval,2147483648
hbase,hbase.regionserver.optionalcacheflushinterval,ABC
hbase,hbase.master.loadbalancer.class,
hbase,hbase.master.loadbalancer.class,100
hbase,hbase.master.loadbalancer.class,ABC
hbase,hbase.hstore.checksum.algorithm,100
hbase,hbase.hstore.checksum.algorithm,ABC
hbase,hbase.hstore.checksum.algorithm,CTC32
hbase,hbase.hstore.flusher.count,-1
hbase,hbase.hstore.flusher.count,2147483648
hbase,hbase.hstore.flusher.count,ABC
hbase,hbase.regionserver.global.memstore.size,-0.4f
hbase,hbase.regionserver.global.memstore.size,"0,0f"
hbase,hbase.regionserver.global.memstore.size,1.5f
hbase,hbase.rpc.shortoperation.timeout,-1
hbase,hbase.rpc.shortoperation.timeout,0
hbase,hbase.rpc.shortoperation.timeout,ABC
hbase,hbase.systemtables.compacting.memstore.type,0
hbase,hbase.systemtables.compacting.memstore.type,1
hbase,hbase.systemtables.compacting.memstore.type,ABC
hbase,hbase.lease.recovery.dfs.timeout,-1
hbase,hbase.lease.recovery.dfs.timeout,0
hbase,hbase.lease.recovery.dfs.timeout,1
hbase,hbase.replication.source.maxthreads,-1
hbase,hbase.replication.source.maxthreads,-100
hbase,hbase.replication.source.maxthreads,0
hbase,hbase.coprocessor.master.classes,100
hbase,hbase.coprocessor.master.classes,;
hbase,hbase.coprocessor.master.classes,ABC
hbase,hbase.mob.cache.evict.period,-1
hbase,hbase.mob.cache.evict.period,0
hbase,hbase.mob.cache.evict.period,ABC
hbase,hbase.regionserver.logroll.errors.tolerated,-1
hbase,hbase.regionserver.logroll.errors.tolerated,0
hbase,hbase.regionserver.logroll.errors.tolerated,ABC
hbase,hbase.dynamic.jars.dir,
hbase,hbase.dynamic.jars.dir,${hbase.rootdir}/libb
hbase,hbase.regions.slop,-100
hbase,hbase.regions.slop,-1000
hbase,hbase.regions.slop,ABC
hbase,hbase.hstore.compaction.min.size,-1
hbase,hbase.hstore.compaction.min.size,0
hbase,hbase.hstore.compaction.min.size,ABC
hbase,hbase.hregion.memstore.flush.size,-100
hbase,hbase.hregion.memstore.flush.size,2147483648
hbase,hbase.hregion.memstore.flush.size,ABC
hbase,hbase.bucketcache.bucket.sizes,0
hbase,hbase.bucketcache.bucket.sizes,"256,512,,"
hbase,hbase.bucketcache.bucket.sizes,"512,256"
